Permissions,FEAT_LABEL
"['android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.ACCESS_LOCATION_EXTRA_COMMANDS', 'android.permission.VIBRATE', 'android.permission.DISABLE_KEYGUARD', 'android.permission.RECORD_AUDIO', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.INTERNET', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.BLUETOOTH', 'android.permission.CAMERA', 'android.permission.WRITE_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.USE_FULL_SCREEN_INTENT', 'android.permission.BROADCAST_STICKY', 'android.permission.FOREGROUND_SERVICE', 'android.permission.RECEIVE_USER_PRESENT', 'tt.app.demo.permission.JPUSH_MESSAGE', 'android.permission.CHANGE_NETWORK_STATE', 'android.permission.ACCESS_BACKGROUND_LOCATION']",sex
"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE']",sex
"['android.permission.READ_PHONE_STATE', 'android.permission.SYSTEM_OVERLAY_WINDOW', 'android.permission.WAKE_LOCK', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.android.launcher.permission.READ_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.CHANGE_CONFIGURATION', 'android.permission.FOREGROUND_SERVICE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.GET_TASKS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.VIBRATE', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",sex
"['android.permission.READ_PHONE_STATE', 'android.permission.READ_PRIVILEGED_PHONE_STATE', 'android.permission.VIBRATE', 'com.asus.msa.SupplementaryDID.ACCESS', 'freemme.permission.msa', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_WIFI_STATE']",sex
"['android.permission.READ_PHONE_STATE', 'android.permission.SYSTEM_OVERLAY_WINDOW', 'android.permission.WAKE_LOCK', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.android.launcher.permission.READ_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.CHANGE_CONFIGURATION', 'android.permission.FOREGROUND_SERVICE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.GET_TASKS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.VIBRATE', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",sex
"['android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.POST_NOTIFICATIONS', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_MEDIA_IMAGES', 'android.permission.READ_MEDIA_VIDEO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.ACCESS_MEDIA_LOCATION', 'android.permission.BLUETOOTH', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.SCHEDULE_EXACT_ALARM', 'android.permission.WAKE_LOCK', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.RECORD_AUDIO', 'android.permission.READ_MEDIA_AUDIO', 'android.permission.BLUETOOTH_CONNECT', 'android.permission.USE_FULL_SCREEN_INTENT', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.ACCESS_WIFI_STATE']",sex
"['android.permission.READ_PHONE_STATE', 'android.permission.SYSTEM_OVERLAY_WINDOW', 'android.permission.WAKE_LOCK', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.android.launcher.permission.READ_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.CHANGE_CONFIGURATION', 'android.permission.FOREGROUND_SERVICE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.GET_TASKS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.VIBRATE', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",sex
"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.REQUEST_DELETE_PACKAGES', 'android.permission.INTERNET', 'com.google.android.gms.permission.AD_ID']",sex
"['android.permission.READ_PHONE_STATE', 'android.permission.NETWORK_PROVIDER', 'android.permission.WAKE_LOCK', 'android.permission.CALL_PHONE', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.ACCESS_LOCATION_EXTRA_COMMANDS', 'android.permission.VIBRATE', 'android.permission.DISABLE_KEYGUARD', 'android.permission.RECORD_AUDIO', 'android.permission.FLASHLIGHT', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.INTERNET', 'android.permission.READ_PRIVILEGED_PHONE_STATE', 'android.permission.READ_PHONE_NUMBERS', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.GET_TASKS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CAMERA', 'android.permission.READ_LOGS', 'android.permission.WRITE_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.huawei.android.launcher.permission.CHANGE_BADGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.REORDER_TASKS', 'com.cnapp221201.cn221201.permission.JPUSH_MESSAGE', 'android.permission.FOREGROUND_SERVICE', 'android.permission.RECEIVE_USER_PRESENT', 'android.permission.CHANGE_NETWORK_STATE', 'android.permission.ACCESS_BACKGROUND_LOCATION', 'android.permission.MANAGE_ACCOUNTS']",sex
"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_SETTINGS', 'android.permission.CAMERA', 'android.permission.RECORD_AUDIO', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.READ_PHONE_STATE']",sex
